abbreviation,full_name
gta,Grand Theft Auto
gtav,Grand Theft Auto V
gta5,Grand Theft Auto V
ff,FINAL FANTASY
ff7,FINAL FANTASY VII
ff15,FINAL FANTASY XV
ff16,FINAL FANTASY XVI
老头环,Elden Ring
cod,Call Of Duty
美丽水世界,Subnautica
远哭,Far Cry
远哭3,Far Cry 3
远哭4,Far Cry 4
远哭5,Far Cry 5
远哭6,Far Cry 6
掘地求升,Getting Over It with Bennett Foddy
老滚,Elder Scrolls
老滚5,Elder Scrolls V
怪猎,Monster Hunter
恶灵古堡,Resident Evil
黑魂,Dark Souls
黑魂2,Dark Souls II
黑魂3,Dark Souls III
黑悟空,Black Myth: Wukong
黑猴,Black Myth: Wukong
