zh_name,en_name
死亡搁浅导演剪辑版,Death Stranding Director's Cut
皇冠城,Crowncity
罗马帝国战争,Roman Empire Wars
一人仙道传,Lone Hero Path
串和阳光,Kitari and Kimoshi
述罪,Speak of my sin
虚拟主播模拟器,VUP-Simulator
地牢勇士,Dungellion
犯罪现场技术员,Crime Scene Technician
收获之旅,Journey of Harvest
回臆,PSYCHExFUSE
防空洞,Refugees: Shelter
宣誓,Avowed
海洋幻想,Sea Fantasy
幻象破坏者：战场 最终版,Phantom Breaker: Battle Grounds Ultimate
浮生游歌,Songs Of Life
冒险同盟,Adventure Allies
圣光旅人,Traveler Of Light
广播,On Air
夏末白夜,Late summer white night
超越,Outreach
我的牧场,My ranch
无限世界,Unlimited Worlds
修道院,THE MONASTERY
智斗模拟器,Wits Battle Simulator
卷壹:梦行记,Volume 1 Dreamwalker's Diary
佣兵小队自走棋,Mercenary Squad Auto Chess
末世孤航,Sailing alone:Aftermath
奈菲亚特骑士,THE KNIGHT OF NEPHIART
潜行者2：切尔诺贝利之心,S.T.A.L.K.E.R. 2:Heart of Chernobyl
刺客信条：影,Assassin's Creed: SHADOWS
中国式相亲,Matchmaking Inc.
勇者斗恶龙3 HD-2D重制版,DRAGON QUEST III HD-2D Remake
野狗子,Slitterhead
蚂蚁帝国,Empire of the Ants
模拟农场25,Farming Simulator 25
东京诡事,Tokyo Stranger
微软飞行模拟2024,Micosoft Flight Simulator 2024
欠债与恋爱相连,Love in Debt
东方:月兔狂想曲,RHAPSODY OF MOON RABBIT
奇巧匠：手工经商模拟,CraftCraft: Fantasy Merchant Simulator
热血三国志 乱世风云,River City Saga: Three Kingdoms Next
忍卷,NinMaki
一起做饭吧2,Let's Cook Together 2
银河边境防御线: 自动化,Galactic Defense: Automation
环形防线,Circle Defense
无命令战术,Zero Orders Tactics
丧尸比萨,Zompizza
终焉计划,Annihilation Plan
银松  溪流,Silverpine Creek
我的勒托物语——格林的一天,My Wet Leto Comic-A Day of Green
史莱姆公主,Slime Princess
囚偶：重逢,PrisonSoul:Reunion
暗喻幻想：ReFantazio,Metaphor: ReFantazio
龙珠Z：电光火石ZERO,DRAGON BALL: Sparking! ZERO
使命召唤21：黑色行动6,Call of Duty: Black Ops 6
寂静岭2：重制版,SILENT HILL 2
三国志8重制版,Romance of the Three Kingdoms VIII: Remake
地痞街区2,Streets of Rogue 2
奇异人生：双重曝光,Life is Strange: Double Exposure
索尼克×夏特 世代重启,SONIC X SHADOW GENERATIONS
终结者：幸存者,Terminator: Survivors
浪漫沙加2 七英雄的复仇,Romancing SaGa 2: Revenge of the Seven
露比兔冒险,Adventures of Ruby Rabbit
暗影诅咒：地狱 复刻版,Shadows of the Damned: Hella Remastered
