game_name,trainer_name,trainer_url,download_url
Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown Trainer,https://flingtrainer.com/trainer/ace-combat-7-skies-unknown-trainer/,"https://flingtrainer.com/downloads/qK0s98ll1sx26L-lba8WFA,,"
Against the Storm,Against the Storm Trainer,https://flingtrainer.com/trainer/against-the-storm-trainer/,"https://flingtrainer.com/downloads/8RdLZqVWZzdRPWFwdc4PGw,,"
Age of Empires III: Definitive Edition,Age of Empires III: Definitive Edition Trainer,https://flingtrainer.com/trainer/age-of-empires-iii-definitive-edition-trainer/,"https://flingtrainer.com/downloads/ihpkGqZ_UKYX_1aSNIc_Qg,,"
Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition Trainer,https://flingtrainer.com/trainer/age-of-empires-ii-definitive-edition-trainer/,"https://flingtrainer.com/downloads/ogUxsq2IkCy-f-gIZ8SBWA,,"
Age of Empires IV,Age of Empires IV Trainer,https://flingtrainer.com/trainer/age-of-empires-iv-trainer/,"https://flingtrainer.com/downloads/1wEDWTkY98MX7OO6rwLWSA,,"
Age of Wonders 4,Age of Wonders 4 Trainer,https://flingtrainer.com/trainer/age-of-wonders-4-trainer/,"https://flingtrainer.com/downloads/0Gn2qwBNXP0960Q2lha87g,,"
Age of Wonders: Planetfall,Age of Wonders: Planetfall Trainer,https://flingtrainer.com/trainer/age-of-wonders-planetfall-trainer/,"https://flingtrainer.com/downloads/tjkHOzuAcQuPvVreg56OvQ,,"
Airship: Kingdoms Adrift,Airship: Kingdoms Adrift Trainer,https://flingtrainer.com/trainer/airship-kingdoms-adrift-trainer/,"https://flingtrainer.com/downloads/EjGB36zpmra7vtXHu7jQKQ,,"
AI Limit,AI Limit Trainer,https://flingtrainer.com/trainer/ai-limit-trainer/,"https://flingtrainer.com/downloads/RWKYhs0DkrsJ2k9Td9106A,,"
Alan Wake 2,Alan Wake 2 Trainer,https://flingtrainer.com/trainer/alan-wake-2-trainer/,"https://flingtrainer.com/downloads/P5kzeGK14o27dFwNYQtFzg,,"
Aliens: Fireteam Elite,Aliens: Fireteam Elite Trainer,https://flingtrainer.com/trainer/aliens-fireteam-elite-trainer/,"https://flingtrainer.com/downloads/C7vFE9uiYCYdF2te3cirOg,,"
Alone in the Dark,Alone in the Dark Trainer,https://flingtrainer.com/trainer/alone-in-the-dark-trainer/,"https://flingtrainer.com/downloads/hh4bMFKNe7FcQK-DMsAwqA,,"
Amazing Cultivation Simulator,Amazing Cultivation Simulator Trainer,https://flingtrainer.com/trainer/amazing-cultivation-simulator-trainer/,"https://flingtrainer.com/downloads/Yv9xDwe6nnRtFSKyKGNOIQ,,"
Ancestors Legacy,Ancestors Legacy Trainer,https://flingtrainer.com/trainer/ancestors-legacy-trainer/,"https://flingtrainer.com/downloads/jAXA_ZIBrrZPxnIOz0c5AA,,"
Ancestors: The Humankind Odyssey,Ancestors: The Humankind Odyssey Trainer,https://flingtrainer.com/trainer/ancestors-the-humankind-odyssey-trainer/,"https://flingtrainer.com/downloads/Nf9qn1ED_hJdlEpLGpWOUA,,"
Angel at Dusk,Angel at Dusk Trainer,https://flingtrainer.com/trainer/angel-at-dusk-trainer/,"https://flingtrainer.com/downloads/jcaDM2qp2J6mpGKFwNSk3w,,"
Anno 117: Pax Romana,Anno 117: Pax Romana Trainer,https://flingtrainer.com/trainer/anno-117-pax-romana-trainer/,"https://flingtrainer.com/downloads/BbvLo_5cr_Lf_6gGbucn3A,,"
Anno 1404 – History Edition,Anno 1404 – History Edition Trainer,https://flingtrainer.com/trainer/anno-1404-history-edition-trainer/,"https://flingtrainer.com/downloads/eNi3yjZ5QMxA4Vtd5BJqew,,"
Anno 1800,Anno 1800 Trainer,https://flingtrainer.com/trainer/anno-1800-trainer-1671952904/,"https://flingtrainer.com/downloads/EwPKAEtOoDecIuxgfO_KCQ,,"
Another Crab’s Treasure,Another Crab’s Treasure Trainer,https://flingtrainer.com/trainer/another-crabs-treasure-trainer/,"https://flingtrainer.com/downloads/jafM7lpUq5TbKTsRsJZqPA,,"
ANVIL,ANVIL Trainer,https://flingtrainer.com/trainer/anvil-trainer/,"https://flingtrainer.com/downloads/2PGJLFJZ60-Ci5Z5TA96FQ,,"
